transaction_type,transaction_amount,transaction_date,transaction_note,category,subcategory
Income,336.84,2022-08-03 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,751.43,2023-09-06 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Income,504.97,2021-06-10 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,210.41,2023-06-30 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,448.78,2022-02-06 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,957.55,2023-04-14 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,376.46,2022-01-08 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,670.46,2020-07-04 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,820.18,2020-07-07 21:27:32.494381,Transaction for Events,Entertainment,Events
Income,997.65,2022-09-22 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,642.46,2023-10-20 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,414.38,2021-04-29 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,561.95,2021-10-17 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,101.75,2022-09-30 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,881.21,2020-08-28 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,967.27,2019-08-29 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,899.63,2020-06-04 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,371.48,2022-09-19 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,97.46,2022-02-01 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,128.1,2021-11-28 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,343.32,2022-04-26 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,740.31,2021-07-26 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,245.16,2020-04-26 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Expense,622.4,2022-09-04 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,783.27,2019-08-23 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,705.16,2020-07-20 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,747.32,2020-05-21 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,692.86,2023-11-09 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,595.42,2021-07-18 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,957.57,2020-03-18 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,575.88,2021-06-26 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,777.69,2021-01-20 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,739.28,2019-12-31 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,43.99,2022-06-26 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,906.96,2023-06-17 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,16.33,2021-03-28 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,14.76,2021-12-07 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,885.29,2020-03-16 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Income,170.33,2021-09-30 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,970.93,2019-04-17 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,136.11,2019-11-24 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,233.83,2021-10-24 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,666.3,2020-12-26 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,651.3,2022-04-18 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,226.71,2022-03-14 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,360.62,2022-06-19 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Income,541.04,2021-08-18 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,944.87,2022-02-03 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,32.48,2020-10-08 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,754.37,2022-09-17 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,746.88,2021-10-23 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,885.04,2022-01-17 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,564.8,2022-10-22 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,410.58,2021-11-21 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,757.54,2020-01-31 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,38.21,2022-08-01 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,608.34,2019-11-10 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,495.9,2022-09-09 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,436.65,2021-08-13 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,644.88,2022-08-03 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,504.22,2020-11-19 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,177.9,2022-09-16 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,973.36,2023-05-05 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,879.68,2023-07-30 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,750.05,2021-01-04 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,857.81,2022-05-25 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,545.4,2024-02-02 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,414.54,2020-01-17 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,934.16,2022-04-16 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,803.47,2021-11-08 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,425.84,2019-02-19 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,121.87,2020-10-10 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,208.38,2021-08-17 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,511.71,2019-07-29 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,702.85,2021-08-07 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,186.64,2023-07-16 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,538.72,2019-07-21 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,290.87,2023-02-05 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,627.96,2020-08-03 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,924.68,2021-04-29 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,773.94,2019-08-25 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,291.27,2020-10-25 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,442.11,2022-09-15 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,106.08,2022-07-25 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,146.64,2019-10-25 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,636.14,2021-06-25 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,407.21,2023-07-20 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,988.29,2019-05-28 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,235.71,2023-08-24 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,902.94,2021-03-09 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,122.93,2019-07-08 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,127.24,2020-01-08 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,574.94,2019-03-28 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,595.44,2022-10-04 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,315.94,2022-07-14 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,555.14,2021-10-30 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,266.84,2022-12-27 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,48.07,2020-03-09 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,686.29,2020-07-11 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,710.24,2023-07-22 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,752.78,2020-01-01 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,372.98,2022-03-07 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,55.48,2019-04-19 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,709.43,2020-08-24 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,60.76,2021-09-02 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,649.84,2019-05-07 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,948.54,2022-10-29 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,807.43,2022-08-03 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,716.07,2022-10-31 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,221.82,2021-03-08 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Income,375.4,2020-03-16 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,108.75,2021-10-07 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,849.08,2022-06-17 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,220.47,2023-04-19 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,189.5,2019-09-17 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,25.31,2021-05-16 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,265.87,2019-06-13 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,572.02,2022-12-30 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,60.96,2019-12-24 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,769.21,2020-12-14 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,500.73,2021-06-03 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,892.58,2021-05-17 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,949.22,2023-12-13 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,523.36,2020-05-29 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,420.58,2022-03-30 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,143.57,2021-01-23 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,953.32,2024-02-01 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,314.27,2023-09-22 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,831.08,2022-06-10 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,529.15,2021-01-08 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Income,420.5,2019-07-20 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,289.68,2019-09-25 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,708.53,2021-08-26 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,740.4,2019-06-01 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,33.76,2021-04-02 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,664.91,2023-02-02 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,585.33,2022-12-06 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,538.54,2020-02-18 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,986.42,2023-02-15 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,805.22,2023-02-15 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,941.6,2021-06-13 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,853.96,2019-05-17 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,14.88,2022-02-19 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,158.89,2019-12-19 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,731.54,2022-12-20 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,70.38,2020-08-16 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,206.22,2021-09-23 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,387.81,2022-03-06 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,373.32,2019-10-11 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,946.66,2023-08-30 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,22.91,2020-02-14 21:27:32.494381,Transaction for Child Support,Family,Child Support
Expense,773.67,2021-03-27 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,999.03,2022-10-13 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,943.93,2022-08-27 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,934.09,2020-10-14 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,722.5,2021-11-08 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Income,570.88,2021-07-19 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,157.28,2019-05-12 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,440.21,2024-01-09 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Expense,214.52,2023-08-18 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,658.49,2023-07-25 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,20.4,2023-05-23 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,387.36,2024-01-26 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,427.7,2021-11-24 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,80.33,2019-07-11 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,119.09,2022-11-22 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,131.88,2020-07-26 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,70.32,2021-02-18 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,806.25,2020-07-10 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,766.72,2020-07-06 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,340.63,2022-03-26 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,433.91,2023-03-08 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,553.77,2019-09-02 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,54.0,2020-03-31 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,658.54,2022-12-02 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,541.79,2022-10-19 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,68.98,2023-11-14 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,353.8,2020-08-02 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,882.29,2019-05-20 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,782.3,2023-05-25 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,119.76,2022-05-15 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,319.08,2022-07-12 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,777.86,2020-11-08 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,518.69,2020-08-16 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Expense,975.23,2019-04-08 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,194.61,2019-11-23 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,444.64,2019-02-14 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,281.04,2023-04-08 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,101.98,2019-07-16 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,400.84,2021-01-01 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,910.64,2023-09-03 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,420.86,2019-05-19 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,784.31,2020-12-11 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,338.67,2019-06-14 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,216.36,2022-05-03 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,799.26,2022-08-18 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,385.42,2023-12-31 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,138.89,2023-11-23 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,289.9,2020-06-24 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,20.27,2021-08-02 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,790.24,2019-05-03 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,620.46,2024-01-29 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,892.89,2019-11-28 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,814.41,2022-05-19 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,406.49,2022-10-03 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,446.23,2019-05-14 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,924.64,2023-11-20 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,232.15,2021-03-13 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,555.34,2023-02-10 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,343.16,2021-06-29 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,412.18,2023-11-20 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Income,282.12,2021-01-05 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,337.3,2022-04-28 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,532.73,2023-07-14 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,156.26,2019-03-19 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,299.53,2022-03-16 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,67.89,2022-05-29 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Income,608.66,2020-11-19 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,19.54,2019-05-12 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,492.12,2022-05-20 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,99.47,2022-01-17 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,777.65,2023-11-02 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,942.68,2023-07-21 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,415.03,2019-02-23 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,232.45,2022-04-26 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,322.64,2023-02-26 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,943.64,2022-01-06 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,440.35,2019-07-23 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Expense,295.63,2023-09-20 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,945.28,2019-11-04 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,499.1,2021-04-26 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,450.08,2023-08-28 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,599.37,2019-03-18 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,413.41,2022-03-01 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,911.89,2022-02-14 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,340.66,2023-05-20 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,584.04,2020-07-22 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,307.9,2022-09-18 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,949.46,2022-06-18 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,852.5,2021-10-22 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,588.55,2020-10-22 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,790.06,2022-06-10 21:27:32.494381,Transaction for Phone,Bill & Utilities,Phone
Income,453.23,2021-11-20 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,427.74,2022-10-30 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,40.78,2023-01-26 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,624.76,2019-06-06 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,602.74,2020-10-11 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,587.24,2019-10-17 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,159.5,2021-09-25 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,429.14,2023-01-16 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,86.53,2019-04-30 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,677.5,2022-01-19 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,321.92,2022-10-11 21:27:32.494381,Transaction for Books,Education,Books
Expense,177.56,2019-10-12 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,777.36,2022-03-11 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,531.55,2022-03-14 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,943.97,2022-10-23 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,232.72,2023-07-10 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,992.48,2023-07-27 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,861.44,2020-06-26 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,51.36,2020-06-24 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,161.73,2023-06-04 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,570.56,2019-03-18 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,101.7,2022-11-24 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,869.35,2021-12-20 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,245.84,2023-08-21 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,205.31,2021-03-07 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,647.61,2022-11-05 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,686.77,2020-09-10 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,894.34,2023-01-31 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,602.89,2020-09-10 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,334.97,2022-06-15 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,111.88,2020-03-31 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,975.75,2020-01-31 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,933.7,2023-02-15 21:27:32.494381,Transaction for Books,Education,Books
Income,388.03,2020-05-04 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,721.11,2020-12-11 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Expense,588.88,2019-06-16 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,718.88,2022-02-18 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,706.32,2022-04-14 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,818.03,2020-09-25 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,923.55,2023-10-01 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,260.21,2022-07-12 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,475.21,2020-01-27 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,825.76,2020-05-18 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,846.87,2019-11-02 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,644.84,2023-03-19 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,67.46,2020-12-28 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,935.41,2021-06-24 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,99.23,2020-04-08 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,477.88,2021-07-04 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,968.24,2023-04-11 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,664.55,2019-02-16 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,810.95,2022-11-04 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,93.51,2023-09-21 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,533.99,2019-05-02 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,257.68,2021-05-14 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,252.59,2022-10-30 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,109.52,2021-12-17 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,700.97,2023-06-06 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,260.41,2022-03-20 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,632.91,2023-10-08 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,882.71,2020-04-05 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,893.52,2020-11-04 21:27:32.494381,Transaction for Commission,Salary,Commission
